Diagram;text;blobs;arrows;groups;diagram_type
1;4;0;4;0;network
2;8;7;10;7;network
3;7;0;10;0;network
4;16;0;21;4;network
5;6;0;6;0;network
6;13;13;30;12;network
7;1;2;2;1;schematic
8;21;19;43;21;network
9;6;10;1;7;schematic
10;10;9;12;9;network
11;2;8;10;2;network
12;5;0;6;0;network
13;9;10;10;10;network
14;8;0;12;0;network
15;9;8;9;8;network
16;10;9;11;9;network
17;12;1;18;2;network
18;3;8;9;4;schematic
19;21;11;27;10;network
20;6;8;5;6;network
21;4;10;4;4;schematic
22;5;12;12;2;network
23;8;4;5;7;network
24;0;7;12;0;network
25;13;0;8;8;network
26;17;17;17;18;network
27;7;0;10;0;network
28;9;9;15;9;network
29;11;0;16;0;network
30;11;10;13;10;network
31;10;8;17;8;network
32;9;4;8;8;schematic
33;12;13;11;13;network
34;16;15;16;15;network
35;12;10;26;10;network
36;17;1;10;11;network
37;11;0;15;6;network
38;10;0;10;6;network
39;7;6;6;6;network
40;15;10;17;11;network
41;10;10;11;9;network
42;12;9;7;19;schematic
43;9;0;14;0;network
44;7;0;9;0;network
45;5;0;6;0;network
46;7;7;7;7;network
47;8;0;13;0;network
48;12;9;15;14;network
49;14;5;9;14;network
50;7;0;8;0;network
51;10;0;11;0;network
52;16;11;24;10;network
53;15;9;10;12;network
54;6;3;0;2;schematic
55;24;24;0;24;network
56;7;0;8;0;network
57;9;8;11;8;network
58;3;3;5;3;network
59;19;0;36;3;network
60;7;1;5;2;schematic
61;12;13;13;12;network
62;0;6;7;0;network
63;18;16;17;16;network
64;7;0;9;0;network
65;5;5;5;5;schematic
66;10;0;12;0;network
67;13;0;19;0;network
68;5;0;5;0;network
69;0;6;7;0;network
70;1;8;13;0;network
71;11;11;12;11;network
72;5;4;5;3;schematic
73;20;15;29;14;network
74;4;3;2;0;schematic
75;12;0;25;0;network
76;4;1;1;1;schematic
77;5;5;5;5;network
78;7;7;9;7;network
79;9;0;13;0;network
80;8;11;6;10;network
81;10;0;11;0;network
82;8;0;11;0;network
83;12;11;16;11;network
84;14;14;19;13;network
85;15;0;27;0;network
86;0;6;7;2;schematic
87;0;3;4;0;schematic
88;6;0;12;0;network
89;2;2;2;1;schematic
90;3;3;3;3;schematic
91;10;0;13;0;network
92;1;4;4;0;schematic
93;8;0;9;0;network
94;8;0;17;0;network
95;13;0;21;0;network
96;0;6;5;0;network
97;20;9;10;18;network
98;11;5;9;11;network
99;14;0;16;0;network
100;8;0;7;0;network
101;14;8;31;8;network
102;15;13;17;13;network
103;2;6;5;2;network
104;9;6;4;4;network
105;3;3;6;3;network
106;5;0;8;0;network
107;5;1;0;0;schematic
108;15;0;11;0;network
109;10;6;15;6;network
110;9;0;14;0;network
111;6;4;5;5;schematic
112;24;1;32;1;network
113;4;0;6;0;network
114;20;5;12;18;network
115;7;7;10;5;schematic
116;11;12;13;10;network
117;9;9;13;11;network
118;13;13;21;13;network
119;10;9;11;9;network
120;12;1;18;2;network
121;10;0;10;0;network
122;7;6;7;6;network
123;5;5;5;5;network
124;12;0;27;1;network
125;10;8;18;8;network
126;12;0;24;0;network
127;0;10;10;0;network
128;6;0;11;0;network
129;0;9;12;0;network
130;14;5;9;14;network
131;12;12;18;12;network
132;7;0;8;0;network
133;15;15;22;19;network
134;11;0;17;0;network
135;4;7;6;6;schematic
136;7;7;12;7;network
137;0;10;9;0;network
138;0;16;20;0;network
139;11;4;8;11;network
140;14;0;9;9;network
141;7;0;8;0;network
142;8;8;18;8;network
143;12;11;16;11;network
144;9;9;10;9;network
145;8;0;8;0;network
146;12;0;11;4;network
147;5;0;5;0;network
148;11;10;11;10;network
149;7;0;8;0;network
150;8;0;9;0;network
151;9;7;10;7;network
152;15;9;17;9;network
